us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR
18252630,3097.2,2739.5,1.1306,1087.8,0.067,0.857,,-0.00008332265094,-0.0002724009742,,,,,,-0.0001217168482,-0.000000007182452856,5836.7
18283834,3094.6,2731,1.1331,1088.2,0.082,0.492,,-0.0001663574125,-0.0003551090921,,,,,,-0.0003557236252,-0.00000000749541246,5825.6
18315092,3089.4,2719.9,1.1358,1089.8,0.087,0.136,,-0.0002147504728,-0.0003814224815,,,,,,-0.0005214665046,-0.000000005311590802,5809.3
18346291,3082.7,2708,1.1384,1091.7,0.081,-0.187,,-0.0002369895917,-0.0003554843875,,,,,,-0.0005961729543,-0.000000002389994551,5790.7
18377516,3075.3,2696.9,1.1403,1092.6,0.063,-0.583,,-0.0002339893583,-0.0002820693634,,,,,,-0.0005924739792,0.0000000001185606935,5772.2
18408714,3068,2688.1,1.1413,1092,0.032,-0.984,,-0.0002304442453,-0.0001888362566,,,,,,-0.0005160587217,0.000000002447246036,5756.1
18439958,3060.8,2682.2,1.1412,1090.2,-0.005,-1.163,,-0.0002209626285,-0.0001184872066,,,,,,-0.0004192805019,0.000000003102064871,5743
18471185,3053.9,2678.5,1.1401,1088.5,-0.033,-0.924,,-0.0001985588471,-0.00006725380304,,,,,,-0.0003394498351,0.000000002555071911,5732.4
18502410,3047.7,2676.4,1.1387,1088,-0.045,-0.362,,-0.0001442353922,-0.00004487323312,,,,,,-0.0002658126501,0.000000002358125499,5724.1
18533609,3043.2,2675,1.1376,1089.1,-0.036,0.282,,-0.00005764611689,-0.00002241793435,,,,,,-0.0001891086253,0.00000000245649399,5718.2
18564834,3041.4,2674.3,1.1373,1091.5,-0.011,0.81,,0.00003519099111,-0.00001919508606,,,,,,-0.00008006405124,0.000000003495130422,5715.7
18596092,3042.5,2673.7,1.138,1093.9,0.022,1.044,,0.00009931759203,-0.0000352417262,,,,,,0.00001599590505,0.000000003076379705,5716.2
18627305,3045.6,2672.6,1.1396,1095,0.051,0.918,,0.000108981345,-0.00006090133983,,,,,,0.00006407586583,0.000000001538164975,5718.2
18658503,3049,2670.7,1.1417,1094.4,0.068,0.551,,0.00009913655261,-0.00008314678606,,,,,,0.00004808000513,-0.0000000005124743119,5719.7
18689773,3052.1,2668.1,1.1439,1092.4,0.072,0.134,,0.00008327994875,-0.00007687379885,,,,,,0.00001598976655,-0.000000001028599224,5720.2
18720993,3054.7,2665.7,1.1459,1090.1,0.064,-0.258,,0.00008656343176,-0.00002564842422,,,,,,0.000006406149904,-0.0000000003064795857,5720.4
18752184,3057.4,2664.9,1.1473,1088.7,0.043,-0.669,,0.00008966886569,0.00004803689233,,,,,,0.00006091500753,0.000000001745959565,5722.3
18783410,3060.2,2666.4,1.1477,1088.9,0.013,-0.976,,0.00009611687812,0.0001281558375,,,,,,0.000137705758,0.000000002461952181,5726.6
18814622,3063.2,2670.4,1.1471,1090.6,-0.018,-0.988,,0.0000991968257,0.0001791942658,,,,,,0.0002242727156,0.000000002772271748,5733.6
