us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,dt,
17940413,3060.7,2688.4,1.1385,1092.6,0.057,-0.406,,0.0002242943,0.0001538018,,,,,,0.0003748318,3.049876184E-010,5749.1,0.031214,32.0369065163
17971622,3067.7,2693.2,1.1391,1089.9,0.018,-1.256,,0.0001727171,0.0002206941,,,,,,0.0003780961,1.045766577E-010,5760.9,0.031209,32.0420391554
18002887,3073.1,2700.1,1.1381,1087.9,-0.029,-1.517,,0.0001155402,0.0002663842,,,,,,0.0003934112,4.907270534E-010,5773.2,0.031265,31.9846473693
18034045,3076.7,2708.4,1.136,1087.8,-0.069,-1.268,,8.317338452E-005,0.0002879079,,,,,,0.0003819244,-3.674005198E-010,5785.1,0.031158,32.0944861673
18065305,3079.3,2717.4,1.1332,1089.6,-0.09,-0.682,,0.000070488,0.0002819519,,,,,,0.0003710813,-3.480047305E-010,5796.7,0.03126,31.9897632758
18096516,3081.5,2726.2,1.1304,1092,-0.09,-0.002,,9.59969281E-005,0.0002527919,,,,,,0.0003524398,-5.963342633E-010,5807.7,0.031211,32.0399859024
18127767,3084.5,2734.1,1.1282,1093.5,-0.07,0.661,,0.0001312882,0.0002017356,,,,,,0.0003487888,-1.169781862E-010,5818.6,0.031251,31.9989760328
18158996,3088.6,2740.4,1.1271,1093.2,-0.035,1.106,,0.0001474548,0.0001186049,,,,,,0.0003330238,-5.044653537E-010,5829,0.031229,32.0215184604
18190192,3093.2,2744.1,1.1272,1091.3,0.004,1.262,,0.0001057082,-3.203280159E-006,,,,,,0.0002660598,-2.144290267E-009,5837.3,0.031196,32.0553917169
18221410,3096.5,2744,1.1285,1089.1,0.04,1.148,,2.242152466E-005,-0.0001441384,,,,,,0.000102505,-5.242812738E-009,5840.5,0.031218,32.0328015888
18252630,3097.2,2739.5,1.1306,1087.8,0.067,0.857,,-8.332265094E-005,-0.000272401,,,,,,-0.0001217168,-7.182452856E-009,5836.7,0.03122,32.0307495195
18283834,3094.6,2731,1.1331,1088.2,0.082,0.492,,-0.0001663574,-0.0003551091,,,,,,-0.0003557236,-7.49541246E-009,5825.6,0.031204,32.0471734393
18315092,3089.4,2719.9,1.1358,1089.8,0.087,0.136,,-0.0002147505,-0.0003814225,,,,,,-0.0005214665,-5.311590802E-009,5809.3,0.031258,31.9918100966
18346291,3082.7,2708,1.1384,1091.7,0.081,-0.187,,-0.0002369896,-0.0003554844,,,,,,-0.000596173,-2.389994551E-009,5790.7,0.031199,32.0523093689
18377516,3075.3,2696.9,1.1403,1092.6,0.063,-0.583,,-0.0002339894,-0.0002820694,,,,,,-0.000592474,1.185606935E-010,5772.2,0.031225,32.0256204964
18408714,3068,2688.1,1.1413,1092,0.032,-0.984,,-0.0002304442,-0.0001888363,,,,,,-0.0005160587,2.447246036E-009,5756.1,0.031198,32.0533367524
18439958,3060.8,2682.2,1.1412,1090.2,-0.005,-1.163,,-0.0002209626,-0.0001184872,,,,,,-0.0004192805,3.102064871E-009,5743,0.031244,32.0061451799
18471185,3053.9,2678.5,1.1401,1088.5,-0.033,-0.924,,-0.0001985588,-6.725380304E-005,,,,,,-0.0003394498,2.555071911E-009,5732.4,0.031227,32.023569347
18502410,3047.7,2676.4,1.1387,1088,-0.045,-0.362,,-0.0001442354,-4.487323312E-005,,,,,,-0.0002658127,2.358125499E-009,5724.1,0.031225,32.0256204964
18533609,3043.2,2675,1.1376,1089.1,-0.036,0.282,,-5.764611689E-005,-2.241793435E-005,,,,,,-0.0001891086,2.45649399E-009,5718.2,0.031199,32.0523093689
18564834,3041.4,2674.3,1.1373,1091.5,-0.011,0.81,,0.000035191,-1.919508606E-005,,,,,,-8.006405124E-005,3.495130422E-009,5715.7,0.031225,32.0256204964
18596092,3042.5,2673.7,1.138,1093.9,0.022,1.044,,9.931759203E-005,-3.52417262E-005,,,,,,1.599590505E-005,3.076379705E-009,5716.2,0.031258,31.9918100966
18627305,3045.6,2672.6,1.1396,1095,0.051,0.918,,0.0001089813,-6.090133983E-005,,,,,,6.407586583E-005,1.538164975E-009,5718.2,0.031213,32.0379329126
18658503,3049,2670.7,1.1417,1094.4,0.068,0.551,,9.913655261E-005,-8.314678606E-005,,,,,,0.00004808,-5.124743119E-010,5719.7,0.031198,32.0533367524
18689773,3052.1,2668.1,1.1439,1092.4,0.072,0.134,,8.327994875E-005,-7.687379885E-005,,,,,,1.598976655E-005,-0.000000001,5720.2,0.03127,31.9795330988
18720993,3054.7,2665.7,1.1459,1090.1,0.064,-0.258,,8.656343176E-005,-2.564842422E-005,,,,,,6.406149904E-006,-3.064795857E-010,5720.4,0.03122,32.0307495195
18752184,3057.4,2664.9,1.1473,1088.7,0.043,-0.669,,8.966886569E-005,4.803689233E-005,,,,,,0.000060915,1.745959565E-009,5722.3,0.031191,32.0605302812
18783410,3060.2,2666.4,1.1477,1088.9,0.013,-0.976,,9.611687812E-005,0.0001281558,,,,,,0.0001377058,2.461952181E-009,5726.6,0.031226,32.0245948889
18814622,3063.2,2670.4,1.1471,1090.6,-0.018,-0.988,,9.91968257E-005,0.0001791943,,,,,,0.0002242727,2.772271748E-009,5733.6,0.031212,32.0389593746
18845873,3066.3,2676,1.1459,1092.7,-0.039,-0.675,,9.624021558E-005,0.0001924804,,,,,,0.0002783911,1.733896446E-009,5742.3,0.031251,31.9989760328
18877045,3069.3,2682,1.1444,1094.1,-0.047,-0.237,,8.321065096E-005,0.0001792229,,,,,,0.0002887206,3.305351908E-010,5751.3,0.031172,32.0800718594
18908291,3071.9,2687.6,1.143,1093.9,-0.045,0.068,,7.048119434E-005,0.0001633882,,,,,,0.0002624336,-8.432906209E-010,5759.5,0.031246,32.0040965244
18939505,3074.1,2692.7,1.1416,1092.1,-0.044,0.02,,0.000070373,0.00018233,,,,,,0.0002338694,-9.141705796E-010,5766.8,0.031214,32.0369065163
18970767,3076.3,2698.4,1.14,1089.7,-0.052,-0.256,,0.0001025247,0.0002434961,,,,,,0.000252703,6.033685043E-010,5774.7,0.031262,31.9877167168
19001979,3079.5,2706,1.138,1087.9,-0.064,-0.377,,0.0001601537,0.0002946829,,,,,,0.0003460208,0.000000003,5785.5,0.031212,32.0389593746
19033199,3084.5,2715.2,1.136,1087.7,-0.065,-0.03,,0.0002239928,0.0003103901,,,,,,0.0004548366,3.486347621E-009,5799.7,0.03122,32.0307495195
19064450,3091.5,2724.9,1.1345,1089.2,-0.047,0.559,,0.0002595156,0.0002755351,,,,,,0.0005343829,2.547926219E-009,5816.4,0.031251,31.9989760328
19095662,3099.6,2733.5,1.1339,1091.4,-0.019,0.891,,0.0002465973,0.000204964,,,,,,0.0005350506,0,5833.1,0.031212,32.0389593746
19126887,3107.3,2739.9,1.1341,1092.9,0.005,0.776,,0.0001765197,0.0001123307,,,,,,0.0004515612,-2.674912616E-009,5847.2,0.031225,32.0256204964
