us,Red,IR,Ratio,Ambient,drdt,ddrdt,R+IR,dRed/dt (~7sec),dIR/dt,dRed/dIR,dRed*dIR/dt,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,,Notes
305036025,3.7,3.3,0.71764,-2.1,9.987,162.62,7,-0.0003231896579,-0.0004543854597,1.405940594,0.004589293143,0.0000001468526813,-0.000000004708938273,-0.007337045215,-0.0007775751176,-0.000000005922541624,7,,
305067244,-10.9,-10.7,0.75368,-0.4,-2.626,-404.026,-21.6,-0.0004676639226,-0.0004484448573,0.9589041096,0.006547294917,0.000000209721481,-0.000000004623028533,-0.004126973958,-0.0009161087799,-0.00000000443293534,-21.6,,
305098443,-27.7,-24.4,0.82588,2.6,3.795,205.82,-52.1,-0.0005384787974,-0.0004391166384,0.8154761905,0.007377159524,0.0000002364549993,-0.000000002268326173,-0.01792525401,-0.0009775954358,-0.000000001969526757,-52.1,,
305129654,-43.7,-38.5,0.85608,4.7,-0.068,-123.781,-82.2,-0.0005126397744,-0.0004517638012,0.88125,0.00722822082,0.0000002315920932,0.0000000008282003577,-0.03225048861,-0.0009644035757,0.0000000004228295807,-82.2,,
305160919,-56,-53.7,1.044,4.4,-2.853,-89.081,-109.7,-0.0003934111626,-0.00048616664,1.235772358,0.005979849672,0.0000001912633831,0.000000003820083041,-0.0423716616,-0.0008795778027,0.000000002717816571,-109.7,,
305192138,-63.8,-69.5,0.9188,1.8,-4.011,-37.087,-133.3,-0.0002498478491,-0.0005061020532,2.025641026,0.003947596015,0.0000001264485094,0.00000000459182196,-0.04570614049,-0.0007559499023,0.000000003954194798,-133.3,,
305223337,-67.7,-84.3,0.8029,-1.5,-3.715,9.487,-152,-0.0001250040065,-0.0004743741787,3.794871795,0.001850059297,0.00000005929867293,0.000000003998969939,-0.04080291035,-0.0005993781852,0.000000005015270095,-152,,
305254562,-68.7,-95.6,0.7182,-3.8,-2.712,32.139,-164.3,-0.0000320256205,-0.0003618895116,11.3,0.0003618895116,0.00000001158973616,0.000000002980171994,-0.02756156926,-0.0003939151321,0.000000006585565342,-164.3,,
305285812,-67.4,-100.9,0.6675,-4.1,-1.622,34.853,-168.3,0.0000416,-0.0001696,-4.076923077,-0.00022048,-0.00000000705536,0.000000002357906181,-0.00745408,-0.000128,0.000000008516097105,-168.3,,
305317027,-64,-99.3,0.6448,-2.6,-0.727,28.695,-163.3,0.0001089219926,0.0000512574083,0.4705882353,0.0001742751882,0.000000005583059049,0.000000002154303764,0.01427070319,0.0001601794009,0.00000000922174083,-163.3,,
305348239,-58.9,-91.8,0.6414,-0.6,-0.109,19.793,-150.7,0.0001633986928,0.0002402921953,1.470588235,0.001225490196,0.00000003926343061,0.00000000174520904,0.0303787005,0.0004036908881,0.000000007801104828,-150.7,,
305379495,-52.5,-81.2,0.6459,0.4,0.142,8.04,-133.7,0.0002047606859,0.0003391348861,1.65625,0.002170463271,0.00000006944149191,0.000000001325195218,0.03660161249,0.0005438955721,0.000000004492012173,-133.7,,
305410721,-45.7,-71.1,0.6434,-0.3,-0.08,-7.133,-116.8,0.0002177672452,0.0003234484084,1.485294118,0.002199449177,0.00000007043646887,0.0000000004161300005,0.03246429258,0.0005412156536,0,-116.8,,
305441901,-40,-64.1,0.624,-2.4,-0.62,-17.301,-104.1,0.0001828094933,0.0002245028865,1.228070175,0.001279666453,0.00000004104125891,-0.000000001119507845,0.02197787043,0.0004073123797,-0.000000004288198101,-104.1,,
